ontology_curie	biosample_name	biosample_type	biosample_life_stage	gtex_tissue	available_outputs	track_filters	total_tracks
CL:0000453	Langerhans cell	primary_cell			cage	hCAGE CL:0000453	2
CL:0000515	skeletal muscle myoblast	primary_cell	unknown		cage,chip_histone,chip_tf,dnase,rna_seq,splice_junctions,splice_site_usage	DNase-seq|Histone ChIP-seq H2AFZ|Histone ChIP-seq H3K27ac|Histone ChIP-seq H3K4me1|Histone ChIP-seq H3K4me2|Histone ChIP-seq H3K4me3|Histone ChIP-seq H3K79me2|Histone ChIP-seq H3K9ac|TF ChIP-seq CTCF|hCAGE CL:0000515|polyA plus RNA-seq|total RNA-seq	22
CL:0000540	neuron	primary_cell	embryonic		cage,chip_histone	Histone ChIP-seq H2AFZ|Histone ChIP-seq H3K27me3|Histone ChIP-seq H3K36me3|Histone ChIP-seq H3K4me1|Histone ChIP-seq H3K4me3|hCAGE CL:0000540	7
CL:0000545	T-helper 1 cell	primary_cell	adult		dnase	DNase-seq	1
CL:0000546	T-helper 2 cell	primary_cell	adult		dnase	DNase-seq	1
CL:0000558	reticulocyte	primary_cell			cage	hCAGE CL:0000558	2
CL:0000569	cardiac mesenchymal cell	primary_cell			cage	hCAGE CL:0000569	2
CL:0000575	corneal epithelial cell	primary_cell			cage	hCAGE CL:0000575	2
CL:0000576	monocyte	primary_cell			cage	hCAGE CL:0000576	2
CL:0000594	skeletal muscle satellite cell	primary_cell	adult		cage,chip_histone,rna_seq,splice_junctions,splice_site_usage	Histone ChIP-seq H3K27me3|Histone ChIP-seq H3K36me3|Histone ChIP-seq H3K4me1|Histone ChIP-seq H3K4me2|Histone ChIP-seq H3K4me3|Histone ChIP-seq H3K9ac|hCAGE CL:0000594|total RNA-seq	13
